taxa	scientific_name	rank
Eunotia eurycephala	Eunotia eurycephala (Grunow) Nörpel-Schempp & Lange-Bert.	SPECIES
Eunotia exigua	Eunotia exigua (Breb) Rabh.	SPECIES
Eunotia exigua var. exigua	Eunotia exigua var. exigua	VARIETY
Eunotia exigua var. undulata	Eunotia exigua var. undulata Magdeburg, 1926	VARIETY
Eunotia faba	Eunotia faba Ehrenb.	SPECIES
Eunotia fallax	Eunotia fallax A.Cleve, 1895	SPECIES
Eunotia fallax var. fallax	Eunotia fallax var. fallax	VARIETY
Eunotia fallax var. groenlandica	Eunotia fallax var. groenlandica (Grunow) Lange-Bertalot & Nörpel, 1991	VARIETY
Eunotia fennica	Eunotia fennica (Hustedt) Lange-Bertalot, 2004	SPECIES
Eunotia flexuosa	Eunotia flexuosa (Brébisson ex Kützing) Kützing, 1849	SPECIES
Eunotia formica	Eunotia formica Ehrenberg, 1843	SPECIES
Eunotia formicina	Eunotia formicina H.Lange-Bertalot, 2011	SPECIES
Eunotia genuflexa	Eunotia genuflexa Norpel-Schempp, 1996	SPECIES
Eunotia glacialifalsa	Eunotia glacialifalsa Lange-Bert.	SPECIES
Eunotia glacialis	Eunotia glacialis Meister, 1912	SPECIES
Eunotia gracillima	Eunotia gracillima (Krasske) M.Nörpel, 1996	SPECIES
Eunotia groenlandica	Eunotia groenlandica (Grunow) Norpel-Schempp & Lange-Bertalot, 1996	SPECIES
Eunotia hexaglyphis	Eunotia hexaglyphis Ehrenberg, 1854	SPECIES
Eunotia implicata	Eunotia implicata Nörpel, Lange-Bertalot & Alles, 1991	SPECIES
Eunotia incisa	Eunotia incisa W.Smith ex W.Gregory, 1854	SPECIES
Eunotia intermedia	Eunotia intermedia (Krasske) Nörpel & Lange-Bertalot, 1993	SPECIES
Eunotia islandica	Eunotia islandica Østrup, 1918	SPECIES
Eunotia jemtlandica	Eunotia jemtlandica (Font.) A.Berg, 1939	SPECIES
Eunotia kruegeri	Eunotia kruegeri H.Lange-Bertalot, 2004	SPECIES
Eunotia lapponica	Eunotia lapponica Grunow, 1895	SPECIES
Eunotia lunaris	Eunotia lunaris Brébisson ex Rabenhorst, 1864	SPECIES
Eunotia major	Eunotia major (W.Smith) Rabenhorst, 1864	SPECIES
Eunotia meisteri	Eunotia meisteri Hustedt, 1930	SPECIES
Eunotia metamonodon	Eunotia metamonodon H.Lange-Bertalot, 2011	SPECIES
Eunotia microcephala	Eunotia microcephala Krasske, 1932	SPECIES
Eunotia minor	Eunotia minor Fusey, 1964	SPECIES
Eunotia monodon	Eunotia monodon W.Smith, 1853	SPECIES
Eunotia monodon var. bidens	Eunotia monodon var. bidens (Ehrenberg) Hustedt, 1932	VARIETY
Eunotia monodon var. monodon	Eunotia monodon var. monodon	VARIETY
Eunotia mucophila	Eunotia mucophila (Lange-Bertalot & Nörpel Schempp) Metzeltin, Lange-Bertalot & Garcia-Rodrigu	SPECIES
Eunotia muscicola var. perminuta	Eunotia muscicola var. perminuta (Grunow) Nörpel & Lange-Bertalot, 1993	VARIETY
Eunotia muscicola var. tridentula	Eunotia muscicola var. tridentula Nörpel & Lange-Bertalot, 1993	VARIETY
Eunotia naegelii	Eunotia naegelii Migula, 1907	SPECIES
Eunotia neoborealis	Eunotia neoborealis H.Lange-Bertalot, 2004	SPECIES
Eunotia neocompacta	Eunotia neocompacta Mayama, 1998	SPECIES
Eunotia neofallax	Eunotia neofallax Nörpel-Schempp & Lange-Bertalot, 1996	SPECIES
Eunotia nymanniana Lectotypus	Eunotia nymanniana Grunow, 1881	SPECIES
Eunotia nymanniana non Lectotypus	Eunotia nymanniana Grunow, 1881	SPECIES
Eunotia palatina	Eunotia palatina H.Lange-Bertalot & W.Krüger, 2004	SPECIES
Eunotia paludosa	Eunotia paludosa Grunow, 1862	SPECIES
Eunotia paludosa var. paludosa	Eunotia paludosa var. paludosa	VARIETY
Eunotia paludosa var. trinacria	Eunotia paludosa var. trinacria (Krasske) Nörpel & Alles, 1991	VARIETY
Eunotia papiliofalsa	Eunotia papiliofalsa H.Lange-Bertalot, 2011	SPECIES
Eunotia parallela	Eunotia parallela Ehrenberg, 1843	SPECIES
Eunotia parallela var. angusta	Eunotia parallela var. angusta Grunow, 1884	VARIETY
Eunotia parallela var. parallela	Eunotia parallela var. parallela	VARIETY
Eunotia paratridentula	Eunotia paratridentula Lange-Bertalot & Kulikovskiy, 2010	SPECIES
Eunotia pectinalis	Eunotia pectinalis (Kützing) Rabenhorst, 1864	SPECIES
Eunotia pectinalis var. pectinalis	Eunotia pectinalis var. pectinalis	VARIETY
Eunotia pectinalis var. undulata	Eunotia pectinalis var. undulata (Ralfs) Rabenhorst, 1864	VARIETY
Eunotia praerupta	Eunotia praerupta Ehrenberg, 1843	SPECIES
Eunotia praerupta var. bidens	Eunotia praerupta var. bidens (Ehrenberg) Grunow, 1880	VARIETY
Eunotia praerupta var. bigibba	Eunotia praerupta var. bigibba (Kütz.) Grunow, 1881	VARIETY
Eunotia praerupta var. curta	Eunotia praerupta var. curta Grunow, 1881	VARIETY
Eunotia praerupta var. inflata	Eunotia praerupta var. inflata Grunow, 1881	VARIETY
Eunotia praerupta var. praerupta	Eunotia praerupta var. praerupta	VARIETY
Eunotia pseudogroenlandica	Eunotia pseudogroenlandica Lange-Bertalot & Tagliaventi, 2011	SPECIES
Eunotia pseudopectinalis	Eunotia pseudopectinalis Hustedt	SPECIES
Eunotia rhomboidea	Eunotia rhomboidea Hustedt, 1950	SPECIES
Eunotia rhynchocephala	Eunotia rhynchocephala Hustedt, 1936	SPECIES
Eunotia rhynchocephala var. rhynchocephala	Eunotia rhynchocephala var. rhynchocephala	VARIETY
Eunotia rhynchocephala var. satelles	Eunotia rhynchocephala var. satelles Norpel & Lange-Bertalot, 1993	VARIETY
Eunotia ruzickae	Eunotia ruzickae Bily & Marvan, 1962	SPECIES
Eunotia satelles	Eunotia satelles (Nörpel-Schempp & Lange-Bertalot) Nörpel-Schempp & Lange-Bertalot, 1996	SPECIES
Eunotia seminulum	Eunotia seminulum Norpel-Schempp & Lange-Bertalot, 1996	SPECIES
Eunotia septena	Eunotia septena Ehrenberg, 1843	SPECIES
Eunotia septentrionalis	Eunotia septentrionalis Østrup, 1897	SPECIES
Eunotia serra	Eunotia serra Ehrenberg, 1837	SPECIES
Eunotia serra var. diadema	Eunotia serra var. diadema (Ehrenberg) R.M.Patrick, 1958	VARIETY
Eunotia serra var. serra	Eunotia serra var. serra	VARIETY
Eunotia serra var. tetraodon	Eunotia serra var. tetraodon (Ehrenberg) Nörpel	VARIETY
Eunotia silvahercynia	Eunotia silvahercynia Nörpel, Van Sull & Lange-Bertalot, 1991	SPECIES
Eunotia soleirolii	Eunotia soleirolii (W.Smith)	SPECIES
Eunotia steineckei	Eunotia steineckei Petersen, 1930	SPECIES
Eunotia subarcuatoides	Eunotia subarcuatoides Alles, Nörpel & Lange-Bertalot, 1991	SPECIES
Eunotia subherkiniensis	Eunotia subherkiniensis Lange-Bertalot, 2011	SPECIES
Eunotia sudetica	Eunotia sudetica Otto Müller, 1898	SPECIES
Eunotia tenella	Eunotia tenella (Grunow) Hustedt, 1913	SPECIES
Eunotia tetraodon	Eunotia tetraodon Ehrenberg, 1838	SPECIES
Eunotia trinacria	Eunotia trinacria Krasske, 1929	SPECIES
Eunotia triodon	Eunotia triodon Ehrenberg, 1837	SPECIES
Eunotia ursamaioris	Eunotia ursamaioris Lange-Bertalot & Nörpel-Schempp, 1999	SPECIES
Eunotia valida	Eunotia valida Grunow, 1882	SPECIES
Eunotia variundulata	Eunotia varioundulata Nörpel & Lange-Bertalot, 1996	SPECIES
Eunotia veneris	Eunotia veneris (Kuetzing) O.Muell.	SPECIES
Eunotogramma	Eunotogramma J.F.Weisse, 1854	GENUS
Eunotogramma dubium	Eunotogramma dubium Hustedt, 1939	SPECIES
Eunotogramma marinum	Eunotogramma marinum (W.Smith) H.Peragallo	SPECIES
Fallacia	-	-
Fallacia crassicostata	Fallacia crassicostata H.Lange-Bertalot & M.Werum, 2004	SPECIES
Fallacia cryptolyra	Fallacia cryptolyra (Brockmann) Stickle & Mann, 1990	SPECIES
Fallacia forcipata	Fallacia forcipata (Greville) Stickle & Mann, 1990	SPECIES
Fallacia fracta	Fallacia fracta (Hustedt ex Simonsen) D.G.Mann, 1990	SPECIES
Fallacia helensis	Fallacia helensis (Schulz) D.G.Mann, 1990	SPECIES
Fallacia indifferens	Fallacia indifferens (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia insociabilis	Fallacia insociabilis (Krasske) D.G.Mann, 1990	SPECIES
Fallacia lange-bertalotii	Fallacia lange-bertalotii (E.Reichardt) E.Reichardt, 2000	SPECIES
Fallacia lenzii	Fallacia lenzii (Hustedt) Lange-Bertalot, 2004	SPECIES
Fallacia lucinensis	Fallacia lucinensis (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia monoculata	Fallacia monoculata (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia omissa	Fallacia omissa (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia pseudoforcipata	Fallacia pseudoforcipata (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia pygmaea	Fallacia pygmaea (Kützing) A.J.Stickle & D.G.Mann, 1990	SPECIES
Fallacia pygmaea ssp. pygmaea	Fallacia pygmaea var. pygmaea	VARIETY
Fallacia pygmaea ssp. subpygmaea	Fallacia pygmaea subsp. subpygmaea Lange-Bert., Cavacini, Tagliaventi & Alfinito, 2003	SUBSPECIES
Fallacia subhamulata	Fallacia subhamulata Round et al., 1990	SPECIES
Fallacia sublucidula	Fallacia sublucidula (Hustedt) Mann, 1990	SPECIES
Fallacia tenera	Naviculales	ORDER
Fallacia tenerrima	Fallacia tenerrima (Hustedt) D.G.Mann, 1990	SPECIES
Fallacia vitrea	Fallacia vitrea (Østrup) D.G.Mann, 1990	SPECIES
Fistulifera	Fistulifera H.Lange-Bertalot, 1997	GENUS
Fistulifera pelliculosa	Fistulifera pelliculosa (Brébisson) Lange-Bertalot, 1997	SPECIES
Fistulifera saprophila	Fistulifera saprophila (Lange-Bertalot & Bonik) Lange-Bertalot, 1997	SPECIES
Fragilaria	Fragilaria H.C.Lyngbye, 1819	GENUS
Fragilaria acidoclinata	Fragilaria acidoclinata Lange-Bertalot & G.Hofmann, 1993	SPECIES
Fragilaria acus	Fragilaria acus (Kützing) Lange-Bertalot, 2000	SPECIES
Fragilaria alpestris	Fragilaria alpestris Krasske ex Hustedt, 1931	SPECIES
Fragilaria amphicephala	Fragilaria amphicephala Ehrenberg, 1854	SPECIES
Fragilaria amphicephaloides	Fragilaria amphicephaloides Lange-Bertalot, 2013	SPECIES
Fragilaria arcus	Fragilaria arcus (Ehrenberg) Cleve, 1898	SPECIES
Fragilaria atomus	Fragilaria atomus Hustedt, 1931	SPECIES
Fragilaria austriaca	Fragilaria austriaca (Grunow) Lange-Bertalot, 2000	SPECIES
Fragilaria berolinensis	Fragilaria berolinensis (Lemmermann) Lange-Bertalot, 1993	SPECIES
Fragilaria bicapitata	Fragilaria bicapitata	SPECIES
Fragilaria biceps	Fragilaria biceps Ehrenberg, 1843	SPECIES
Fragilaria bidens	Fragilaria bidens Heiberg, 1863	SPECIES
Fragilaria brevistriata	Fragilaria brevistriata Grunow, 1885	SPECIES
Fragilaria capitellata	Fragilaria capitellata Lauby, 1910	SPECIES
Fragilaria capucina	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria capucina capitellata - Sippen	Fragilaria capucina var. capitellata (Grunow) Lange-Bertalot, 1991	VARIETY
Fragilaria capucina distans - Sippen	Fragilaria capucina f. distans Mayer, 1937	FORM
Fragilaria capucina distans / fragilarioides - Sippen	Fragilaria capucina f. distans Mayer, 1937	FORM
Fragilaria capucina radians - Sippen	Fragilaria capucina var. radians (Kütz.) Lange-Bert	VARIETY
Fragilaria capucina var. amphicephala	Fragilaria capucina var. amphicephala (Kütz.) Lange-Bert. ex Buktyiarova	VARIETY
Fragilaria capucina var. austriaca	Fragilaria capucina var. austriaca (Grun) Lange-Bertalot, 1980	VARIETY
Fragilaria capucina var. capucina	Fragilaria capucina var. capucina	VARIETY
Fragilaria capucina var. gracilis	Fragilaria capucina var. gracilis (Østrup) Hustedt, 1950	VARIETY
Fragilaria capucina var. mesolepta	Fragilaria capucina var. mesolepta (Rabenhorst) Rabenhorst, 1864	VARIETY
Fragilaria capucina var. perminuta	Fragilaria capucina var. perminuta (Grunow) Lange-Bertalot, 1991	VARIETY
Fragilaria capucina var. rumpens	Fragilaria H.C.Lyngbye, 1819	GENUS
Fragilaria capucina var. vaucheriae	Fragilaria capucina var. vaucheriae (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria cassubica	Fragilaria cassubica Witkowski & Lange-Bertalot, 1993	SPECIES
Fragilaria constricta	Fragilaria constricta Ehrenberg, 1843	SPECIES
Fragilaria construens	Fragilaria construens (Ehrenberg) Grunow, 1862	SPECIES
Fragilaria construens f. binodis	Bacillariophyceae	CLASS
Fragilaria construens f. construens	Fragilaria construens f. construens	FORM
Fragilaria construens f. exigua	Fragilaria construens var. exigua (W.Smith) Schulz, 1920	VARIETY
Fragilaria construens f. subsalina	Fragilaria construens f. subsalina (Hustedt) Hustedt, 1957	FORM
Fragilaria construens f. venter	Fragilaria construens f. venter (Ehrenberg) Hustedt, 1957	FORM
Fragilaria construens var. binodis	Fragilaria construens var. binodis (Ehrenberg) Grunow, 1862	VARIETY
Fragilaria crotonensis	Fragilaria crotonensis Kitton, 1869	SPECIES
Fragilaria cyclopum	Fragilaria cyclopum (Brutschy) Lange-Bertalot, 1980	SPECIES
Fragilaria danica	Fragilaria danica (Kützing) Lange-Bertalot, 1996	SPECIES
Fragilaria delicatissima	Fragilaria delicatissima Proschkina-Lavrenko, 1960	SPECIES
Fragilaria dilatata	Fragilaria dilatata (Brébisson) Lange-Bertalot, 1993	SPECIES
Fragilaria elliptica	Fragilaria elliptica Jousé, 1955	SPECIES
Fragilaria exigua	Fragilaria exigua Grunow, 1878	SPECIES
Fragilaria exiguiformis	Fragilaria exiguiformis Lange-Bertalot, 1993	SPECIES
Fragilaria famelica	Fragilaria famelica (Kützing) Lange-Bertalot, 1980	SPECIES
Fragilaria famelica var. famelica	Fragilaria famelica var. famelica	VARIETY
Fragilaria famelica var. littoralis	Fragilaria famelica var. littoralis (Germain) Lange-Bert.	VARIETY
Fragilaria familiaris	Fragilaria familiaris (Kütz.) Hust., 1957	SPECIES
Fragilaria fasciculata	Fragilaria fasciculata (C.Agardh) Lange-Bertalot, 1980	SPECIES
Fragilaria gracilis	Fragilaria gracilis Østrup, 1910	SPECIES
Fragilaria grunowii	Fragilaria grunowii H.Lange-Bertalot & S.Ulrich, 2014	SPECIES
Fragilaria guenter-grassii	Fragilaria guenter-grassii Witkowski & Lange-Bertalot, 1993	SPECIES
Fragilaria heidenii	Fragilaria heideni Østrup	SPECIES
Fragilaria henryi	Fragilaria henryi H.Lange-Bertalot, 1999	SPECIES
Fragilaria hungarica	Fragilaria hungarica Pantocsek	SPECIES
Fragilaria hungarica var. hungarica	Fragilaria hungarica var. hungarica	VARIETY
Fragilaria hungarica var. tumida	Fragilaria hungarica var. tumida Cleve-Euler, 1953	VARIETY
Fragilaria incognita	Fragilaria incognita Reichardt, 1988	SPECIES
Fragilaria intermedia	Fragilaria intermedia (Grunow) Grunow, 1881	SPECIES
Fragilaria investiens	Fragilaria investiens (W.Smith) Cleve-Euler, 1953	SPECIES
Fragilaria istvanffyi	Fragilaria istvanffyi Pantocsek, 1902	SPECIES
Fragilaria karelica	Fragilaria karelica Mölder, 1951	SPECIES
Fragilaria lanceolata	Fragilaria lanceolata (Kützing) E.Reichardt, 1988	SPECIES
Fragilaria lapponica	Fragilaria lapponica	SPECIES
Fragilaria leptostauron	Fragilaria leptostauron (Ehrenberg) Hustedt, 1931	SPECIES
Fragilaria leptostauron var. dubia	Fragilaria leptostauron var. dubia (Grunow) Hustedt, 1931	VARIETY
Fragilaria leptostauron var. leptostauron	Fragilaria leptostauron var. leptostauron	VARIETY
Fragilaria leptostauron var. martyi	Fragilaria leptostauron var. martyi (Héribaud-Joseph) Lange-Bertalot, 1991	VARIETY
Fragilaria longifusiformis	Fragilaria longifusiformis (Hains & Sebring) Siver et al., 2006	SPECIES
Fragilaria martyi	Fragilaria martyi (Héribaud-Joseph) Lange-Bertalot, 1993	SPECIES
Fragilaria mesolepta	Fragilaria mesolepta Rabenhorst, 1861	SPECIES
Fragilaria montana	Fragilaria montana (Krasske) Lange-Bertalot, 1980	SPECIES
Fragilaria nanana	Fragilaria nanana Lange-Bertalot, 1993	SPECIES
Fragilaria nanoides	Fragilaria nanoides Lange-Bertalot, 1996	SPECIES
Fragilaria neoproducta	Fragilaria neoproducta Lange-Bertalot, 1991	SPECIES
Fragilaria nitzschioides	Fragilaria nitzschioides Grunow	SPECIES
Fragilaria oldenburgiana	Fragilaria oldenburgiana Hustedt, 1959	SPECIES
Fragilaria pantocsekii	Fragilaria pantocsekii Cleve-Euler, 1953	SPECIES
Fragilaria pararumpens	Fragilaria pararumpens Lange-Bertalot, G.Hofmann & Werum, 2013	SPECIES
Fragilaria parasitica	Fragilaria parasitica (W.Smith) Heiberg, 1863	SPECIES
Fragilaria parasitica var. parasitica	Fragilaria parasitica var. parasitica	VARIETY
Fragilaria parasitica var. subconstricta	Fragilaria parasitica var. subconstricta Grunow, 1881	VARIETY
Fragilaria pectinalis	Fragilaria pectinalis Ehrenberg, 1838	SPECIES
Fragilaria perminuta	Fragilaria perminuta Krammer & Lange-Bertalot, 2000	SPECIES
Fragilaria pinnata	Fragilaria pinnata Ehrenberg, 1843	SPECIES
Fragilaria pinnata var. intercedens	Fragilaria pinnata var. intercedens (Grunow) Hust.	VARIETY
Fragilaria pinnata var. lancettula	Fragilaria pinnata var. lancettula (Schumann) Hustedt, 1913	VARIETY
Fragilaria pinnata var. pinnata	Fragilaria pinnata var. pinnata	VARIETY
Fragilaria pinnata var. trigona	Fragilaria pinnata var. trigona (Brun & Héribaud-Joseph) Hustedt, 1913	VARIETY
Fragilaria polonica	Fragilaria polonica M.Witak & Lange-Bertalot, 1995	SPECIES
Fragilaria polygonata	Fragilaria polygonata Cleve-Euler, 1953	SPECIES
Fragilaria pseudoconstruens	Fragilaria pseudoconstruens Marciniak, 1982	SPECIES
Fragilaria pulchella	Fragilaria pulchella (Ralfs ex Kützing) Lange-Bertalot, 1980	SPECIES
Fragilaria quadrata	Fragilaria quadrata (Hust.) Lange-Bert. & Metzeltin	SPECIES
Fragilaria radians	Fragilaria radians (Kützing) D.M.Williams & Round, 1987	SPECIES
Fragilaria recapitellata	Fragilaria recapitellata H.Lange-Bertalot & D.Metzeltin, 2009	SPECIES
Fragilaria reicheltii	Fragilaria reicheltii (Voigt) Lange-Bertalot, 1986	SPECIES
Fragilaria robusta	Fragilaria robusta Hustedt ex Simonsen, 1987	SPECIES
Fragilaria rumpens	Fragilaria rumpens (Kützing) G.W.F.Carlson, 1913	SPECIES
Fragilaria saxoplanctonica	Fragilaria saxoplanctonica H.Lange-Bertalot & S.Ulrich, 2014	SPECIES
Fragilaria schulzii	Fragilaria schulzii C.Brockmann, 1950	SPECIES
Fragilaria spinarum	Fragilaria spinarum L-B & Metzeltin, 1996	SPECIES
Fragilaria subsalina	Fragilaria subsalina (Grunow) Lange-Bertalot, 1993	SPECIES
Fragilaria tenera	Fragilaria tenera (W.Smith) Lange-Bertalot, 1980	SPECIES
Fragilaria tenera var. nanana	Fragilaria tenera var. nanana (H.Lange-Bertalot) H.Lange-Bertalot & S.Ulrich, 2014	VARIETY
Fragilaria tenera var. tenera	Fragilaria tenera var. tenera	VARIETY
Fragilaria ulna	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna - Sippen	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna acus - Sippen	Fragilariaceae	FAMILY
Fragilaria ulna angustissima - Sippen	Fragilaria ulna (Nitzsch) Lange-Bertalot, 1980	SPECIES
Fragilaria ulna danica - Sippen	Fragilaria ulna var. danica (Kützing) Kalinsky, 1982	VARIETY
Fragilaria ulna oxyrhynchus - Sippen	Fragilaria ulna var. oxyrhynchus (Kütz.) Lange-Bert., 1991	VARIETY
Fragilaria ulna var. acus	Fragilaria ulna var. acus (Kützing) Lange-Bertalot, 1980	VARIETY
Fragilaria ulna var. ulna	Fragilaria ulna var. ulna	VARIETY
Fragilaria utermoehlii	Fragilaria utermoehlii (Hustedt) Lange-Bertalot, 1991	SPECIES
Fragilaria vaucheriae	Fragilaria vaucheriae (Kützing) J.B.Petersen, 1938	SPECIES
Fragilaria virescens	Fragilaria virescens	SPECIES
Fragilaria virescens var. virescens	Fragilaria virescens var. virescens	VARIETY
Fragilaria zeilleri	Fragilaria zeilleri Héribaud-Joseph, 1903	SPECIES
Fragilaria zeilleri var. africana	Fragilaria zeilleri var. africana Gasse, 1978	VARIETY
Fragilaria zeilleri var. elliptica	Fragilaria zeilleri var. elliptica F.Gasse, 1980	VARIETY
Fragilaria zeilleri var. zeilleri	Fragilaria zeilleri var. zeilleri	VARIETY
Fragilariforma bicapitata	Fragilariforma bicapitata (Mayer) D.M.Williams & Round, 1988	SPECIES
Fragilariforma virescens	Fragilariforma virescens (Ralfs) D.M.Williams & Round, 1988	SPECIES
Frustulia	Frustulia C.A.Agardh, 1824	GENUS
Frustulia amosseana	Frustulia amosseana Lange-Bertalot, 2000	SPECIES
Frustulia amphipleuroides	Frustulia amphipleuroides (Grunow) A.Cleve, 1934	SPECIES
Frustulia crassinervia	Naviculales	ORDER
Frustulia creuzburgensis	Frustulia creuzburgensis (Krasske) Hustedt, 1957	SPECIES
Frustulia erifuga	Frustulia erifuga Lange-Bertalot & Krammer, 1996	SPECIES
Frustulia krammeri	Frustulia krammeri Lange-Bertalot & Metzeltin, 1998	SPECIES
Frustulia marginata	Frustulia marginata Amossé, 1932	SPECIES
Frustulia pangaeopsis	Frustulia pangaeopsis Lange-Bertalot, 2001	SPECIES
Frustulia quadrisinuata	Frustulia quadrisinuata Lange-Bertalot, 1996	SPECIES
Frustulia rhomboides	Frustulia rhomboides (Ehrenberg) De Toni, 1891	SPECIES
Frustulia rhomboides var. amphipleuroides	Frustulia rhomboides var. amphipleuroides (Grunow) Cleve	VARIETY
Frustulia rhomboides var. crassinervia	Frustulia rhomboides var. crassinervia (Brébisson ex W.Smith) Ross, 1947	VARIETY
Frustulia rhomboides var. rhomboides	Frustulia rhomboides var. rhomboides	VARIETY
Frustulia rhomboides var. saxonica	Frustulia rhomboides var. saxonica (Rabenh.) De Toni, 1891	VARIETY
Frustulia rhomboides var. viridula	Frustulia rhomboides var. viridula (Brébisson) Cleve, 1894	VARIETY
Frustulia saxonica	Frustulia saxonica Rabenhorst, 1853	SPECIES
Frustulia spicula	Frustulia spicula Amossé, 1932	SPECIES
Frustulia vulgaris	Frustulia vulgaris (Thwaites) De Toni, 1891	SPECIES
Frustulia weinholdii	Frustulia weinholdi Hustedt	SPECIES
Geissleria	-	-
Geissleria acceptata	Geissleria acceptata (Hust.) Lange-Bert. & Metzeltin, 1996	SPECIES
Geissleria cummerowi	Geissleria cummerowi (L.Kalbe) Lange-Bertalot, 2001	SPECIES
Geissleria declivis	Geissleria declivis (Hustedt) Lange-Bertalot, 1996	SPECIES
Geissleria decussis	Geissleria decussis (Østrup) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria dolomitica	Geissleria dolomitica (W.Bock) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria ignota	Geissleria ignota (Krasske) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria paludosa	Geissleria paludosa (Hustedt) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria schoenfeldii	Geissleria schoenfeldii (Hustedt) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria similis	Geissleria similis (Krasske) Lange-Bertalot & Metzeltin, 1996	SPECIES
Geissleria tecta	-	-
Geissleria thingvallae	Geissleria thingvallae (Østrup) Metzeltin & Lange-Bertalot, 1996	SPECIES
Germainiella enigmatica	Germainiella enigmatica (Germain) Lange-Bertalot & Metzeltin	SPECIES
Gomphocymbellopsis ancyli	Gomphocymbellopsis ancyli (Cleve) K.Krammer, 2003	SPECIES
Gomphoneis	Gomphoneis P.T.Cleve, 1894	GENUS
Gomphoneis transsilvanica	Gomphoneis transsilvanica (Pantocsek) Krammer, 1985	SPECIES
Gomphonema	Gomphonema C.G.Ehrenberg, 1832	GENUS
Gomphonema acidoclinatum	Gomphonema acidoclinatum Lange-Bertalot & Reichardt, 2004	SPECIES
Gomphonema acuminatum	Gomphonema acuminatum Ehrenberg, 1832	SPECIES
Gomphonema acuminatum var. acuminatum	Gomphonema acuminatum var. acuminatum	VARIETY
Gomphonema acuminatum var. pusillum	Gomphonema acuminatum var. pusillum Grunow, 1880	VARIETY
Gomphonema acutiusculum	Gomphonema acutiusculum (O.Müll.) Cleve-Euler	SPECIES
Gomphonema affine	Gomphonema affine Kützing, 1844	SPECIES
Gomphonema amoenum	Gomphonema amoenum Lange-Bertalot, 1985	SPECIES
Gomphonema angustatum	Gomphonema angustatum (Kützing) Rabenhorst, 1864	SPECIES
Gomphonema angusticephalum	Gomphonema angusticephalum E.Reichardt & H.Lange-Bertalot, 1999	SPECIES
Gomphonema angustivalva	Gomphonema angustivalva Reichardt, 1997	SPECIES
Gomphonema angustum	Gomphonema angusta (Rabenhorst)	SPECIES
Gomphonema anjae	Gomphonema anjae Lange-Bertalot & Reichardt, 1991	SPECIES
Gomphonema aquaemineralis	Gomphonema aquaemineralis Lange-Bert. & E.Reichardt	SPECIES
Gomphonema augur	Gomphonema augur Ehrenberg, 1840	SPECIES
Gomphonema augur var. augur	Gomphonema augur var. augur	VARIETY
Gomphonema augur var. sphaerophorum	Gomphonema augur var. sphaerophorum (Ehrenberg) Grunow, 1878	VARIETY
Gomphonema auritum	Gomphonema auritum A.Braun ex Kützing, 1849	SPECIES
Gomphonema bavaricum	Gomphonema bavaricum Reichardt & Lange-Bertalot, 1991	SPECIES
Gomphonema bipunctatum	Gomphonema bipunctatum Zimmermann, 1915	SPECIES
Gomphonema bohemicum	Gomphonema bohemicum Reichelt & Fricke, 1902	SPECIES
Gomphonema bozenae	Gomphonema bozenae Lange-Bertalot & Reichardt, 1996	SPECIES
Gomphonema brebissonii	Gomphonema brebissonii Kützing, 1849	SPECIES
Gomphonema calcifugum	Gomphonema calcifugum H.Lange-Bertalot	SPECIES
Gomphonema capitatum	Gomphonema capitatum Ehrenberg, 1838	SPECIES
Gomphonema clavatulum	Gomphonema clavatulum E.Reichardt, 1999	SPECIES
Gomphonema clavatum	Gomphonema clavatum Ehrenberg, 1832	SPECIES
Gomphonema clevei	Gomphonema clevei Fricke, 1902	SPECIES
Gomphonema constrictum	Gomphonema constrictum Ehrenberg ex Kützing, 1844	SPECIES
Gomphonema coronatum	Gomphonema coronatum Ehrenberg, 1840	SPECIES
Gomphonema cuneolus	Gomphonema cuneolus Reichardt, 1997	SPECIES
Gomphonema cymbelliclinum	Gomphonema cymbelliclinum E.Reichardt & Lange-Bertalot, 1999	SPECIES
Gomphonema dichotomum	Gomphonema dichotomum Kützing, 1833	SPECIES
Gomphonema drutelingense	Gomphonema drutelingense E.Reichardt, 1999	SPECIES
Gomphonema elegantissimum	Gomphonema elegantissimum E.Reichardt & H.Lange-Bertalot, 2011	SPECIES
Gomphonema exiguum	Gomphonema exiguum (Ostrup) Fricke, 1902	SPECIES
Gomphonema exiguum var. exiguum	Gomphonema exiguum var. exiguum	VARIETY
