taxa	harmonized_name	rank
Craticula molestiformis	Craticula molestiformis (Hust.) Lange-Bert.	SPECIES
Craticula minusculoides	Craticula minusculoides (Hustedt) Lange-Bertalot, 2001	SPECIES
Caloneis molaris	Caloneis molaris (Grunow) Krammer, 1985	SPECIES
Cymbella minuta var. silesiaca	Cymbella minuta var. silesiaca (Bleisch) Reimer, 1975	VARIETY
Cyclotella meneghiniana terato	Cyclotella meneghiniana Kützing, 1844	SPECIES
Cymbella naviculiformis	Cymbella naviculiformis Krenner, 1926	SPECIES
Cymbella neocistula	Cymbella neocistula Krammer, 2002	SPECIES
Cymbella neocistula f. anormale	Cymbella neocistula Krammer, 2002	SPECIES
Cocconeis neodiminuta	Cocconeis neodiminuta Krammer, 1990	SPECIES
Cymbella neogena	Cymbella neogena (Grunow) Krammer, 2002	SPECIES
Campylodiscus noricus var. hibernicus	Campylodiscus noricus var. hibernicus (Ehrenberg) Grunow, 1862	VARIETY
Cymbella neolanceolata	Cymbella neolanceolata W.da Silva, 2013	SPECIES
Cymbella neoleptoceros	Cymbella neoleptoceros Krammer, 2002	SPECIES
Cymbella neoleptoceros terato	Cymbella neoleptoceros Krammer, 2002	SPECIES
Cocconeis neothumensis	Cocconeis neothumensis Krammer, 1991	SPECIES
Cymbella obtusiuscula	Cymbella obtusiuscula Schmidt, 1875	SPECIES
Cyclotella ocellata	Cyclotella ocellata Pantocsek, 1901	SPECIES
Cocconeis hustedtii	Cocconeis hustedtii Krasske, 1923	SPECIES
Coscinodiscus oculus-iridis	Coscinodiscus oculus-iridis (Ehrenberg) Ehrenberg, 1840	SPECIES
Cocconeis kerguelensis	Cocconeis kerguelensis Petit, 1888	SPECIES
Coscinodiscus lacustris	Coscinodiscus lacustris Grunow	SPECIES
Cyclotella oligactis	Cyclotella oligactis Ralfs	SPECIES
Cocconeis pseudolineata	Cocconeis pseudolineata (Geitler) Lange-Bertalot, 2004	SPECIES
Cocconeis pseudothumensis	Cocconeis pseudothumensis Reichardt, 1982	SPECIES
Cosmioneis pusilla	Cosmioneis pusilla (W.Smith) D.G.Mann & A.J.Stickle, 1990	SPECIES
Coscinodiscus subtilis var. fluviatilis	Coscinodiscus subtilis var. fluviatilis Lemmermann, 1898	VARIETY
Cocconeis thumensis	Cocconeis thumensis A.Mayer, 1919	SPECIES
Cyclotella operculata var. unipunctata	Cyclotella operculata var. unipunctata Hustedt, 1922	VARIETY
Cocconeis pediculus terato	Cocconeis pediculus Ehrenberg, 1838	SPECIES
Cymbella parva	Cymbella parva (W.Sm.) Wolle	SPECIES
Cymbella prostrata var. auerswaldii	Cymbella prostrata var. auerswaldii (Rabenhorst) Reimer, 1975	VARIETY
Cocconeis pseudolineata terato	Cocconeis pseudolineata (Geitler) Lange-Bertalot, 2004	SPECIES
Cocconeis placentula var. euglypta terato	Cocconeis placentula var. euglypta (Ehrenb.) Cleve	VARIETY
Cocconeis pediculus	Cocconeis pediculus Ehrenberg, 1838	SPECIES
Cymbella perpusilla	Cymbella perpusilla A.Cleve, 1895	SPECIES
Cymbella pisciculus	Cymbella pisciculus Gregory, 1856	SPECIES
Cocconeis placentula	Cocconeis placentula Ehrenberg, 1838	SPECIES
Cocconeis placentula var. euglypta	Cocconeis placentula var. euglypta (Ehrenb.) Cleve	VARIETY
Cocconeis placentula var. lineata	Cocconeis placentula var. lineata (Ehrenberg) van Heurck, 1885	VARIETY
Cocconeis placentula var. lineata terato	Cocconeis placentula var. lineata (Ehrenberg) van Heurck, 1885	VARIETY
Cyclotella planctonica	Cyclotella planctonica Brunnthaler, 1901	SPECIES
Cyclotella polymorpha	Cyclotella polymorpha Meyer & Håkansson, 1996	SPECIES
Cocconeis placentula var. pseudolineata	Cocconeis placentula var. pseudolineata Geitler, 1927	VARIETY
Cyclotella praetermissa	Cyclotella praetermissa Lund, 1951	SPECIES
Cymbella prostrata	Cymbella prostrata (Berkeley) Cleve, 1894	SPECIES
Cymbella proxima	Cymbella proxima Reimer, 1975	SPECIES
Cyclotella pseudonana	Cyclotella pseudonana T.P.Chang	SPECIES
Cyclotella pseudostelligera	Cyclotella pseudostelligera Hustedt, 1939	SPECIES
Cocconeis placentula terato	Cocconeis placentula Ehrenberg, 1838	SPECIES
Cyclotella quadrijuncta	Cyclotella quadrijuncta (Schröter) von Keissler, 1910	SPECIES
Craticula accomoda	Craticula accomoda (Hustedt) D.G.Mann, 1990	SPECIES
Cyclotella radiosa	Cyclotella radiosa Grunow	SPECIES
Craticula citrus	Craticula citrus (Krasske) Reichardt, 1997	SPECIES
Craticula cuspidata	Craticula cuspidata (Kutzing) D.G.Mann, 1990	SPECIES
Cymbella reichardtii	Cymbella reichardtii Krammer, 1985	SPECIES
Cymbella rigida	Cymbella rigida Cleve-Euler, 1955	SPECIES
Coscinodiscus rothii var. normanii	Coscinodiscus rothii var. normani (Gregory ex Greville) Van Heurck, 1928	VARIETY
Cyclotella rossii	Cyclotella rossii Håkansson, 1990	SPECIES
Coscinodiscus rothii var. subsalsum	Coscinodiscus rothii var. subsalsum (Juhlin-Dannfelt) Hustedt, 1928	VARIETY
Cymbella subaequalis	Cymbella subaequalis Grunow, 1880	SPECIES
Cymatopleura solea var. apiculata	Cymatopleura solea var. apiculata (W.Smith) Ralfs, 1861	VARIETY
Cymbopleura subaequalis	Cymbopleura subaequalis (Grunow) Krammer, 2003	SPECIES
Craticula submolesta	Craticula submolesta (Hustedt) Lange-Bertalot, 1996	SPECIES
Cymbella subcistula	Cymbella subcistula Krammer, 2002	SPECIES
Cyclotella schumanni	Cyclotella schumannii (Grunow) Håk.	SPECIES
Cocconeis scutellum	Cocconeis scutellum Ehrenberg, 1838	SPECIES
Cyclostephanos delicatus	Cyclostephanos delicatus (S.I.Genkel) S.J.Casper & W.Scheffler, 1990	SPECIES
Cyclostephanos delicatus	Cyclostephanos delicatus (S.I.Genkel) S.J.Casper & W.Scheffler, 1990	SPECIES
Cyclotella stelligera var. glomerata	Cyclotella stelligera var. glomerata (Bachmann) Haworth & Hurley, 1986	VARIETY
Caloneis schumanniana	Caloneis schumanniana (Grunow) Cleve, 1894	SPECIES
Caloneis silicula	Caloneis silicula (Ehrenberg) Cleve, 1894	SPECIES
Cymbella sinuata	Cymbella sinuata W.Gregory, 1856	SPECIES
Cymbella silesiaca	Cymbella silesiaca Bleisch, 1864	SPECIES
Chamaepinnularia submuscicola	Chamaepinnularia submuscicola (Krasske) H.Lange-Bertalot, 1998	SPECIES
Craticula subminuscula	Craticula subminuscula (Manguin) Wetzel & Ector, 2015	SPECIES
Cyclotella socialis	Cyclotella socialis Schütt, 1899	SPECIES
Cymatopleura solea	Cymatopleura solea Van Heurck, 1881	SPECIES
Cocconeis scutellum var. ornata	Cocconeis scutellum var. ornata Grunow, 1870	VARIETY
Cymatopleura solea terato	Cymatopleura solea Van Heurck, 1881	SPECIES
Cyclotella stelligera var. pseudostelligera	Cyclotella stelligera var. pseudostelligera (Hustedt) Haworth & Hurley, 1986	VARIETY
Cyclotella stelligera var. pseudostelligera f. wolterecki	Cyclotella stelligera f. wolterecki (Hustedt) Haworth & Hurley, 1986	FORM
Cyclotella stelligera var. stelligeroides	Cyclotella stelligera var. stelligeroides (Hustedt) Haworth & Hurley, 1986	VARIETY
Cyclotella stelligera	Cyclotella stelligera Cleve & Grunow, 1882	SPECIES
Cyclotella stelligeroides	Cyclotella stelligeroides Hustedt, 1945	SPECIES
Cyclotella striata	Cyclotella striata (Kützing) Grunow, 1880	SPECIES
Cymbella subalpina	Cymbella subalpina Skvortzow, 1971	SPECIES
Cymbella turgidula var. bengalensis	Cymbella turgidula var. bengalensis Krammer, 2002	VARIETY
Cymbella turgidula var. bengalensis terato	Cymbella turgidula var. bengalensis Krammer, 2002	VARIETY
Cyclotella tecta	Cyclotella tecta Håkansson & R.Ross, 1984	SPECIES
Cymbella turgidula	Cymbella turgidula Grunow, 1875	SPECIES
Cerataulus thermalis	Cerataulus thermalis Grunow, 1863	SPECIES
Cyclostephanos tholiformis	Cyclostephanos tholiformis Stoermer, Håkansson & Theriot, 1987	SPECIES
Cyclotella tibetana	Cyclotella tibetana Hustedt, 1922	SPECIES
Cymbella tumidula	Cymbella tumidula Grunow, 1875	SPECIES
Cyclotella trichonidea var. parva	Cyclotella trichonidea var. parva Economou-Amilli, 1979	VARIETY
Ctenophora pulchella	Ctenophora pulchella De Toni, 1892	SPECIES
Cymbella triangulum	Cymbella triangulum (Ehrenberg) Cleve, 1894	SPECIES
Cymbella tropica	Cymbella tropica Krammer, 2002	SPECIES
Cyclotella tuberculata	Cyclotella (F.T.Kützing) A.de Brébisson, 1838	GENUS
Cymbella tumida	Cymbella tumida (A.Schmidt) Skabichevskii, 1963	SPECIES
Cymbella tumida terato	Cymbella tumida (A.Schmidt) Skabichevskii, 1963	SPECIES
Conticribra weissflogii	Conticribra weissflogii (Grunow) K.Stachura-Suchoples & D.M.Williams, 2009	SPECIES
Cocconeis utermoehlii	Cocconeis utermoehlii Hust., 1954	SPECIES
Caloneis vasileyevae	Caloneis vasileyevae Lange-Bert. et al.	SPECIES
Cymbella ventricosa var. auerswaldii	Cymbella ventricosa var. auerswaldii (Rabenhorst) Meister, 1912	VARIETY
Cymbella ventricosa	Cymbella ventricosa Kützing, 1844	SPECIES
Cymbella ventricosa var. minuta	Cymbella ventricosa var. minuta Hustedt, 1909	VARIETY
Caloneis vasilyevae	Caloneis vasilyevae Lange-Bertalot, Genkal & Vechov, 2005	SPECIES
Cymbella vulgata	Cymbella vulgata Krammer, 2002	SPECIES
Cavinula variostriata	Cavinula variostriata (Krasske) D.G.Mann & A.J.Stickle, 1990	SPECIES
Cyclotella woltereckii	Cyclotella woltereckii Hustedt, 1942	SPECIES
Cyclotella wuethrichiana	Cyclotella wuethrichiana Druart & Straub, 1988	SPECIES
Cyclotella affinis	Cyclotella affinis Grunow	SPECIES
Cyclotella astraea	Cyclotella astraea Kützing, 1849	SPECIES
Cyclotella balatonis	Cyclotella balatonis Pantocsek, 1901	SPECIES
Cyclotella delicatula	Cyclotella delicatula Genkal, 1994	SPECIES
Cyclotella hellae	Cyclotella hellae Chang & Steinberg, 1989	SPECIES
Cymatopleura librile var. apiculata	Cymatopleura librile var. apiculata (W.Smith) Descy, 1983	VARIETY
Cymbella obtusa	Cymbella obtusa Gregory, 1856	SPECIES
Cyclotella pantanelliana	Cyclotella pantanelliana Castracane, 1886	SPECIES
Cyclotella schumannii	Cyclotella schumannii (Grunow) Håk.	SPECIES
Cymbella sp. terato	-	-
Diatoma anceps	Diatoma anceps (Ehrenberg) Kirchner, 1878	SPECIES
Diadesmis biceps	Diadesmis biceps G.A.Arnott	SPECIES
Diadesmis contenta var. biceps	Diadesmis contenta var. biceps (Grunow) P.B.Hamilton, 1992	VARIETY
Discoplea comta	Discoplea comta Ehrenberg, 1844	SPECIES
Diadesmis confervacea var. nipponica	Diadesmis confervacea var. nipponica (Skvortzow) A.Tuji, 2003	VARIETY
Diadesmis confervacea	Diadesmis confervacea Kützing, 1844	SPECIES
Diadesmis contenta	Diadesmis contenta (Grunow) D.G.Mann, 1990	SPECIES
Diadesmis confervacea terato	Diadesmis confervacea Kützing, 1844	SPECIES
Delicata delicatula	Delicata delicatula (Kützing) Krammer, 2003	SPECIES
Diploneis didyma	Naviculales	ORDER
terato	-	-
Diatoma ehrenbergii	Diatoma ehrenbergii Kützing, 1844	SPECIES
Diatoma ehrenbergii terato	Diatoma ehrenbergii Kützing, 1844	SPECIES
Diploneis elliptica	Diploneis elliptica (Kützing) Cleve, 1894	SPECIES
Diatoma elongatum	Diatoma elongatum W.Smith, 1856	SPECIES
Diatoma elongatum var. tenuis	Diatoma elongatum var. tenuis (C.A.Agardh) Van Heurck, 1885	VARIETY
Diadesmis gallica	Diadesmis gallica W.Smith, 1857	SPECIES
Discostella glomerata	Discostella glomerata (H.Bachmann) Houk & Klee, 2004	SPECIES
Diadesmis gallica var. perpusilla	Diadesmis gallica var. perpusilla (Grunow) Lange-Bertalot, 1996	VARIETY
Discostella hellae	Discostella hellae (Chang & Steinberg) T.-P.Chang, 2008	SPECIES
Diatoma hyemalis	Diatoma hyemalis (Roth) Heiberg, 1863	SPECIES
Diatoma hyemalis var. maxima	Diatoma hyemalis var. maxima (Grunow) Meister, 1912	VARIETY
Diatoma hiemale var. mesodon	Diatoma hiemale var. mesodon (Ehrenberg) Kirchner, 1878	VARIETY
Diatoma hiemale var. quadratum	Diatoma hiemale var. quadratum (Kützing) Ross, 1950	VARIETY
Diatoma tenuis	Diatoma tenuis C.Agardh, 1812	SPECIES
Diploneis krammeri	Diploneis krammeri Lange-Bertalot & E.Reichardt, 2000	SPECIES
Denticula kuetzingii	Denticula kuetzingii Grunow, 1862	SPECIES
Diploneis marginestriata	Diploneis marginestriata Hustedt, 1922	SPECIES
Diatoma mesodon	Diatoma mesodon (Ehrenberg) Kützing, 1844	SPECIES
Diploneis minuta	Diploneis minuta J.B.Petersen, 1928	SPECIES
Diatoma moniliforme	Diatoma moniliforme (Kützing) D.M.Williams, 2012	SPECIES
Diatoma moniliformis	Diatoma moniliformis Kützing, 1833	SPECIES
Diatoma moniliformis terato	Diatoma moniliformis Kützing, 1833	SPECIES
Discostella nipponica	Discostella nipponica (Skvortzov) A.Tuji & D.M.Williams, 2006	SPECIES
Discostella nipponica	Discostella nipponica (Skvortzov) A.Tuji & D.M.Williams, 2006	SPECIES
Diploneis oblongella	Diploneis oblongella (Nägeli) R.Ross	SPECIES
Diploneis oculata	Diploneis oculata (Brébisson) Cleve, 1894	SPECIES
Diploneis ovalis var. oblongella	Diploneis ovalis var. oblongella Fontell, 1917	VARIETY
Diploneis oblongella var. ovalis	Diploneis oblongella var. ovalis (Hilse) R.Ross, 1947	VARIETY
Diploneis ovalis	Diploneis ovalis H.Lange-Bertalot	SPECIES
Diploneis parma	Diploneis parma Cleve, 1891	SPECIES
Denticula parva	Denticula parva Hustedt, 1942	SPECIES
Diadesmis perpusilla	Diadesmis perpusilla (Grunow) D.G.Mann, 1990	SPECIES
Diploneis peterseni	Diploneis petersenii Hustedt	SPECIES
Diatoma problematica	Diatoma problematica Lange-Bertalot, 1993	SPECIES
Diploneis pseudovalis	Diploneis pseudoovalis Hustedt, 1930	SPECIES
Discostella pseudostelligera	Discostella pseudostelligera (Hustedt) Houk & Klee, 2004	SPECIES
Discostella pseudostelligera f. anormale	Discostella pseudostelligera (Hustedt) Houk & Klee, 2004	SPECIES
Diploneis puella	Diploneis puella (Schumann) Cleve, 1894	SPECIES
Denticula rainierensis	Denticula rainierensis Sovereign, 1963	SPECIES
Discostella stelligera	Discostella stelligera (Cleve & Grunow) Houk & Klee, 2004	SPECIES
Discostella stelligeroides	Discostella stelligeroides (Hustedt) Houk & Klee	SPECIES
Denticula subtilis	Denticula subtilis Grunow, 1862	SPECIES
Delphineis surirella	Delphineis surirella (Ehrenberg) G.W.Andrews, 1981	SPECIES
Denticula tenuis var. crassula	Denticula tenuis var. crassula (Nägeli) Hustedt, 1930	VARIETY
Diatoma tenuis var. elongatum	Diatoma tenuis var. elongata Lyngbye, 1819	VARIETY
Denticula tenuis	Denticula tenuis Kützing, 1844	SPECIES
Diatoma tenuis var. moniliformis	Diatoma tenuis var. moniliformis Kützing, 1833	VARIETY
Diatoma vulgaris var. grandis	Diatoma vulgaris var. grandis (W.Sm.) Grunow	VARIETY
Diatoma vulgaris m linearis	Diatoma vulgaris var. linearis Grunow, 1881	VARIETY
Diatoma vulgaris f. lineare	Diatoma vulgaris var. lineare Grunow, 1881	VARIETY
Diatoma vulgaris var. ehrenbergii	Diatoma vulgaris var. ehrenbergii (W.Smith) Rabenhorst, 1919	VARIETY
Diatoma vulgaris	Diatoma vulgaris Bory de Saint-Vincent, 1824	SPECIES
Diatoma vulgaris terato	Diatoma vulgaris Bory de Saint-Vincent, 1824	SPECIES
Discostella woltereckii	Discostella woltereckii (Hustedt) V.Houk & R.Klee, 2004	SPECIES
Epithemia adnata	Epithemia adnata (Kützing) Brébisson, 1838	SPECIES
Epithemia argus var. goeppertiana	Epithemia argus var. goeppertiana (Hilse) Hilse, 1861	VARIETY
Epithemia argus var. intermedia	Epithemia argus var. intermedia (Hilse) Mayer, 1936	VARIETY
Entomoneis alata	Entomoneis alata (Ehrenberg) Ehrenberg, 1845	SPECIES
Eunotia alpina	Eunotia alpina Kützing, 1844	SPECIES
Epithemia adnata var. proboscidea	Epithemia adnata var. proboscidea (Kützing) R.M.Patrick, 1975	VARIETY
Encyonopsis aequalis	Encyonopsis aequalis (W.Smith) Krammer, 1997	SPECIES
Eunotia arcus var. arcus f. anormale	Eunotia arcus Ehrenberg, 1837	SPECIES
Eunotia arcus	Eunotia arcus Ehrenberg, 1837	SPECIES
Eunotia arcuoides	Eunotia arcuoides Foged, 1977	SPECIES
Ellerbeckia arenaria	Ellerbeckia arenaria (Moore ex Ralfs) R.M.Crawford, 1988	SPECIES
Epithemia argus	Epithemia argus W.Smith, 1853	SPECIES
Eunotia arculus	Eunotia arculus (Grunow) Lange-Bertalot & Nörpel, 1991	SPECIES
Encyonema auerswaldii	Encyonema auerswaldii Rabenhorst, 1853	SPECIES
Eunotia arcus var. uncinata	Eunotia arcus var. uncinata (Ehrenberg) Grunow, 1881	VARIETY
Eunotia bidentuloides	Eunotia bidentuloides Foged, 1977	SPECIES
Eunotia bidentula	Eunotia bidentula W.Smith, 1856	SPECIES
Eunotia bilii	Eunotia bilii Lowe & Kociolek, 1984	SPECIES
Eunotia bilunaris	Eunotia bilunaris (Ehrenberg) Schaarschmidt, 1880	SPECIES
Eunotia bilunaris terato	Eunotia bilunaris (Ehrenberg) Schaarschmidt, 1880	SPECIES
Eunotia bilunaris var. linearis	Eunotia bilunaris var. linearis (Okuno) Lange-Bert. & Nörpel-Schempp	VARIETY
Eunotia bilunaris	Eunotia bilunaris (Ehrenberg) Schaarschmidt, 1880	SPECIES
Eunotia bilunaris	Eunotia bilunaris (Ehrenberg) Schaarschmidt, 1880	SPECIES
Eunotia bilunaris var. mucophila terato	Eunotia bilunaris var. mucophila Lange-Bert., Nörpel & Alles	VARIETY
Eunotia bilunaris var. mucophila	Eunotia bilunaris var. mucophila Lange-Bert., Nörpel & Alles	VARIETY
Eunotia botuliformis	Eunotia botuliformis Wang, 1998	SPECIES
Encyonema caespitosum var. auerswaldii	Encyonema caespitosum var. auerswaldii (Rabenhorst) van Heurck, 1882-1885	VARIETY
Eolimna comperei terato	Eolimna comperei L.Ector, M.Coste & R.Iserentant, 2000	SPECIES
Encyonema caespitosum	Encyonema caespitosum Schmidt, 1875	SPECIES
Eunotia carolina	Eunotia carolina R.M.Patrick, 1958	SPECIES
Eunotia curvata f. bergii	Eunotia curvata f. bergii Woodhead & Tweed, 1960	FORM
Encyonopsis cesatii	Encyonopsis cesatii (Rabenhorst) Krammer, 1997	SPECIES
Encyonopsis cesatii terato	Encyonopsis cesatii (Rabenhorst) Krammer, 1997	SPECIES
Encyonopsis krammeri	Encyonopsis krammeri E.Reichardt, 1997	SPECIES
Encyonopsis microcephala terato	Encyonopsis microcephala (Grunow) Krammer, 1997	SPECIES
Encyonopsis minuta	Encyonopsis minuta Krammer & E.Reichardt, 1997	SPECIES
Encyonopsis subalpina	Encyonopsis subalpina (Hustedt) Krammer, 1997	SPECIES
Eunotia curvata var. subarcuata	Eunotia curvata var. subarcuata (Naegeli) Woodhead & Tweed, 1954	VARIETY
Eunotia curtagrunowii	Eunotia curtagrunowii Nörpel-Schempp & Lange-Bertalot, 1996	SPECIES
Encyonema caespitosum terato	Encyonema caespitosum Schmidt, 1875	SPECIES
Eunotia curvata	Eunotia curvata (Kützing) Lagerstedt, 1884	SPECIES
Eunotia diodon	Eunotia diodon Ehrenberg, 1837	SPECIES
Eunotia didyma var. pileus	Eunotia didyma var. pileus (Ehrenberg) Frenguelli, 1933	VARIETY
Eunotia eurycephaloides	Eunotia eurycephaloides Norpel-Schempp & Lange-Bertalot, 1996	SPECIES
Eunotia exigua var. tenella	Eunotia C.G.Ehrenberg, 1837	GENUS
Eunotia eurycephala	Eunotia eurycephala (Grunow) Nörpel-Schempp & Lange-Bert.	SPECIES
Eunotia exgracilis	Eunotia exgracilis A.Berg ex A.Cleve, 1953	SPECIES
Eunotia exigua	Eunotia exigua (Breb) Rabh.	SPECIES
Eunotia exigua terato	Eunotia exigua (Breb) Rabh.	SPECIES
Eunotia faba	Eunotia faba Ehrenb.	SPECIES
Eunotia fallax var. aequalis	Eunotia fallax var. aequalis Hustedt, 1937	VARIETY
Eunotia fallax var. intermedia	Eunotia faba var. intermedia (Krasske) Cleve-Euler, 1953	VARIETY
Eunotia fallax	Eunotia fallax A.Cleve, 1895	SPECIES
Eunotia faba var. parvula	Eunotia faba var. parvula Grunow, 1882	VARIETY
Eunotia flexuosa var. bicapitata	Eunotia flexuosa (Brébisson ex Kützing) Kützing, 1849	SPECIES
Eunotia formica var. elongata	Eunotia formica var. elongata Grunow, 1865	VARIETY
Eunotia flexuosa var. eurycephala	Eunotia flexuosa var. eurycephala Grunow, 1881	VARIETY
Eunotia fallax var. lapponica	Eunotia fallax var. lapponica Cleve-Euler, 1953	VARIETY
Eunotia flexuosa	Eunotia flexuosa (Brébisson ex Kützing) Kützing, 1849	SPECIES
Eunotia formicina	Eunotia formicina H.Lange-Bertalot, 2011	SPECIES
Eunotia formica	Eunotia formica Ehrenberg, 1843	SPECIES
Eunotia formica var. pileus	Eunotia formica var. pileus (Ehrenberg) Grunow, 1865	VARIETY
Epithemia gibba	Epithemia gibba Kützing	SPECIES
Eunotia glacialifalsa	Eunotia glacialifalsa Lange-Bert.	SPECIES
Eunotia glacialis	Eunotia glacialis Meister, 1912	SPECIES
Epithemia goeppertiana	Epithemia goeppertiana Hilse, 1861	SPECIES
Eunotia gracilis	Eunotia gracilis W.Smith, 1853	SPECIES
Eunotia incisadistans	Eunotia incisadistans Lange-Bert. & E.Sienkiewicz, 2011	SPECIES
Eunotia incisa var. minor	Eunotia incisa var. minor Cleve & Möller, 1878	VARIETY
Eunotia implicata	Eunotia implicata Nörpel, Lange-Bertalot & Alles, 1991	SPECIES
Eunotia incisa	Eunotia incisa W.Smith ex W.Gregory, 1854	SPECIES
Eunotia inflata	Eunotia inflata (Grunow) Norpel-Schempp & Lange-Bertalot, 1996	SPECIES
Epithemia intermedia	Epithemia intermedia Hilse, 1860	SPECIES
Eunotia impressa var. angusta	Eunotia impressa var. angusta Van Heurck, 1881	VARIETY
Eunotia impressa	Eunotia impressa Ehrenberg, 1854	SPECIES
Eunotia islandica	Eunotia islandica Østrup, 1918	SPECIES
Eunotia incisa terato	Eunotia incisa W.Smith ex W.Gregory, 1854	SPECIES
Eunotia kocheliensis	Eunotia kocheliensis O.Müller, 1898	SPECIES
Encyonema leibleinii	Encyonema leibleinii (C.Agardh) W.J.Silva et al.	SPECIES
Eunotia lunaris var. subarcuata	Eunotia lunaris var. subarcuata Meister, 1912	VARIETY
Eunotia lunaris	Eunotia lunaris Brébisson ex Rabenhorst, 1864	SPECIES
Eunotia meisteri	Eunotia meisteri Hustedt, 1930	SPECIES
Eunotia mesiana	Eunotia mesiana Cholnoky, 1955	SPECIES
Eunotia minor	Eunotia minor Fusey, 1964	SPECIES
Eunotia mucophila f. anormale	Eunotia mucophila (Lange-Bertalot & Nörpel Schempp) Metzeltin, Lange-Bertalot & Garcia-Rodrigu	SPECIES
Eunotia mucophila	Eunotia mucophila (Lange-Bertalot & Nörpel Schempp) Metzeltin, Lange-Bertalot & Garcia-Rodrigu	SPECIES
Eolimna muraloides	Eolimna muraloides (Hustedt) Lange-Bertalot & Kulikovskiy, 2010	SPECIES
Epithemia muelleri	Epithemia muelleri Fricke, 1904	SPECIES
Eunotia myrmica	Eunotia myrmica H.Lange-Bertalot, 2011	SPECIES
Eunotia naegeli	Eunotia naegelii Migula, 1907	SPECIES
Encyonopsis microcephala	Encyonopsis microcephala (Grunow) Krammer, 1997	SPECIES
Encyonema sp. terato	Encyonema Kütz., 1833	GENUS
Eunotia nodosa	Eunotia nodosa A.Berg, 1939	SPECIES
Eunotia neocaledonica	Eunotia neocaledonia VanLandingham, 1969	SPECIES
Encyonema gracile	Encyonema gracile Rabenhorst, 1853	SPECIES
Encyonema lange-bertalotii m 1	Encyonema lange-bertalotii Krammer, 1997	SPECIES
Encyonopsis leei	Encyonopsis leei K.Krammer, 2003	SPECIES
Encyonema mesianum	Encyonema mesianum (Cholnoky) D.G.Mann, 1990	SPECIES
Encyonema minutum	Encyonema minutum Round et al.	SPECIES
Encyonema minutum terato	Encyonema minutum Round et al.	SPECIES
Encyonema neogracile	Encyonema neogracile Krammer, 1997	SPECIES
Encyonema perpusillum	Encyonema perpusillum (Cleve) D.G.Mann, 1990	SPECIES
Encyonema reichardtii	Encyonema reichardtii (Krammer) D.G.Mann, 1990	SPECIES
Encyonema triangulum	Encyonema triangulum (Ehrenberg) Kützing, 1849	SPECIES
Encyonema ventricosum	Encyonema ventricosum Van Heurck, 1880-1885	SPECIES
Epithemia ocellata	Epithemia ocellata W.Smith, 1853	SPECIES
Eolimna comperei	Eolimna comperei L.Ector, M.Coste & R.Iserentant, 2000	SPECIES
Eolimna krummensis	Eolimna krummensis P.M.Novis, J.Braidwood & C.Kilroy, 2012	SPECIES
Eolimna minima	Eolimna minima (Grunow) Lange-Bertalot & W.Schiller, 1997	SPECIES
Eolimna minima terato	Eolimna minima (Grunow) Lange-Bertalot & W.Schiller, 1997	SPECIES
Eolimna rhombelliptica	Eolimna rhombelliptica Gerd Moser, 1998	SPECIES
Eolimna ruttneri	Eolimna ruttneri (Hustedt) Lange-Bertalot & Monnier, 2003	SPECIES
Eolimna verecundaeformis	Eolimna verecundaeformis (Manguin ex Kociolek & Reviers) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES
Entomoneis paludosa	Entomoneis paludosa (W.Smith) Reimer, 1975	SPECIES
Epithemia proboscidea	Epithemia proboscidea W.Smith, 1853	SPECIES
Eunotia praerupta var. curta	Eunotia praerupta var. curta Grunow, 1881	VARIETY
Eunotia pectinalis	Eunotia pectinalis (Kützing) Rabenhorst, 1864	SPECIES
Eunotia pileus	Eunotia pileus (Ehrenberg) Reichardt, 1843	SPECIES
Eunotia pirla	Eunotia pirla J.R.Carter & Flower, 1988	SPECIES
Eunotia pseudolunaris	Eunotia pseudolunaris Venkataraman, 1939	SPECIES
Eunotia pectinalis var. minor	Eunotia pectinalis var. minor (Kützing) Rabenhorst, 1864	VARIETY
Eunotia pectinalis var. minor f. impressa	Eunotia pectinalis f. impressa (Otto Müller) Ant.Mayer, 1913	FORM
Eunotia pectinalis var. minor f. intermedia	Eunotia pectinalis f. intermedia Krasske ex Hustedt, 1932	FORM
Eunotia praerupta	Eunotia praerupta Ehrenberg, 1843	SPECIES
Eunotia praerupta var. inflata	Eunotia praerupta var. inflata Grunow, 1881	VARIETY
Eunotia praerupta var. muscicola	Eunotia praerupta var. muscicola Petersen, 1928	VARIETY
Encyonema prostratum	Encyonema prostratum (Berkeley) Kützing, 1844	SPECIES
Eunotia pseudoflexuosa	Eunotia pseudoflexuosa F.Hustedt	SPECIES
Entomoneis paludosa var. subsalina	Entomoneis paludosa var. subsalina (Cleve) Krammer, 1987	VARIETY
Entomoneis paludosa var. subsalina	Entomoneis paludosa var. subsalina (Cleve) Krammer, 1987	VARIETY
Eunotia pseudoveneris	Eunotia pseudoveneris Hustedt, 1942	SPECIES
Eunotia praerupta terato	Eunotia praerupta Ehrenberg, 1843	SPECIES
Epithemia proboscidea var. typica	Epithemia proboscidea var. typica Cleve-Euler, 1952	VARIETY
Eunotia pectinalis var. undulata	Eunotia pectinalis var. undulata (Ralfs) Rabenhorst, 1864	VARIETY
