taxa	scientificName	rank	kingdom	phylum	class	order	family	genus
Eunotia exigua	Eunotia exigua (Breb) Rabh.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia exigua terato	Eunotia exigua (Breb) Rabh.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia faba	Eunotia faba Ehrenb.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia fallax var. aequalis	Eunotia fallax var. aequalis Hustedt, 1937	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia fallax var. intermedia	Eunotia faba var. intermedia (Krasske) Cleve-Euler, 1953	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	-	-	Himantidium
Eunotia fallax	Eunotia fallax A.Cleve, 1895	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia faba var. parvula	Eunotia faba var. parvula Grunow, 1882	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	-	-	Himantidium
Eunotia flexuosa var. bicapitata	Eunotia flexuosa (Brébisson ex Kützing) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Synedra
Eunotia formica var. elongata	Eunotia formica var. elongata Grunow, 1865	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia flexuosa var. eurycephala	Eunotia flexuosa var. eurycephala Grunow, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia fallax var. lapponica	Eunotia fallax var. lapponica Cleve-Euler, 1953	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia flexuosa	Eunotia flexuosa (Brébisson ex Kützing) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Synedra
Eunotia formicina	Eunotia formicina H.Lange-Bertalot, 2011	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia formica	Eunotia formica Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia formica var. pileus	Eunotia formica var. pileus (Ehrenberg) Grunow, 1865	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia gibba	Epithemia gibba Kützing	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia glacialifalsa	Eunotia glacialifalsa Lange-Bert.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia glacialis	Eunotia glacialis Meister, 1912	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia goeppertiana	Epithemia goeppertiana Hilse, 1861	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia gracilis	Eunotia gracilis W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia incisadistans	Eunotia incisadistans Lange-Bert. & E.Sienkiewicz, 2011	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia incisa var. minor	Eunotia incisa var. minor Cleve & Möller, 1878	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia implicata	Eunotia implicata Nörpel, Lange-Bertalot & Alles, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia incisa	Eunotia incisa W.Smith ex W.Gregory, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia inflata	Eunotia inflata (Grunow) Norpel-Schempp & Lange-Bertalot, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia intermedia	Epithemia intermedia Hilse, 1860	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia impressa var. angusta	Eunotia impressa var. angusta Van Heurck, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia impressa	Eunotia impressa Ehrenberg, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia islandica	Eunotia islandica Østrup, 1918	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia incisa terato	Eunotia incisa W.Smith ex W.Gregory, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia kocheliensis	Eunotia kocheliensis O.Müller, 1898	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonema leibleinii	Encyonema leibleinii (C.Agardh) W.J.Silva et al.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Eunotia lunaris var. subarcuata	Eunotia lunaris var. subarcuata Meister, 1912	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia lunaris	Eunotia lunaris Brébisson ex Rabenhorst, 1864	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia meisteri	Eunotia meisteri Hustedt, 1930	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia mesiana	Eunotia mesiana Cholnoky, 1955	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia minor	Eunotia minor Fusey, 1964	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia mucophila f. anormale	Eunotia mucophila (Lange-Bertalot & Nörpel Schempp) Metzeltin, Lange-Bertalot & Garcia-Rodrigu	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia mucophila	Eunotia mucophila (Lange-Bertalot & Nörpel Schempp) Metzeltin, Lange-Bertalot & Garcia-Rodrigu	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eolimna muraloides	Eolimna muraloides (Hustedt) Lange-Bertalot & Kulikovskiy, 2010	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Epithemia muelleri	Epithemia muelleri Fricke, 1904	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia myrmica	Eunotia myrmica H.Lange-Bertalot, 2011	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia naegeli	Eunotia naegelii Migula, 1907	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonopsis microcephala	Encyonopsis microcephala (Grunow) Krammer, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonopsis
Encyonema sp. terato	Encyonema Kütz., 1833	GENUS	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Eunotia nodosa	Eunotia nodosa A.Berg, 1939	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia neocaledonica	Eunotia neocaledonia VanLandingham, 1969	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonema gracile	Encyonema gracile Rabenhorst, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema lange-bertalotii m 1	Encyonema lange-bertalotii Krammer, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonopsis leei	Encyonopsis leei K.Krammer, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonopsis
Encyonema mesianum	Encyonema mesianum (Cholnoky) D.G.Mann, 1990	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Encyonema minutum	Encyonema minutum Round et al.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema minutum terato	Encyonema minutum Round et al.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema neogracile	Encyonema neogracile Krammer, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema perpusillum	Encyonema perpusillum (Cleve) D.G.Mann, 1990	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Encyonema reichardtii	Encyonema reichardtii (Krammer) D.G.Mann, 1990	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Encyonema triangulum	Encyonema triangulum (Ehrenberg) Kützing, 1849	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	-	-	Gloeonema
Encyonema ventricosum	Encyonema ventricosum Van Heurck, 1880-1885	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Epithemia ocellata	Epithemia ocellata W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eolimna comperei	Eolimna comperei L.Ector, M.Coste & R.Iserentant, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Eolimna
Eolimna krummensis	Eolimna krummensis P.M.Novis, J.Braidwood & C.Kilroy, 2012	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Eolimna
Eolimna minima	Eolimna minima (Grunow) Lange-Bertalot & W.Schiller, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Eolimna minima terato	Eolimna minima (Grunow) Lange-Bertalot & W.Schiller, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Eolimna rhombelliptica	Eolimna rhombelliptica Gerd Moser, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Eolimna
Eolimna ruttneri	Eolimna ruttneri (Hustedt) Lange-Bertalot & Monnier, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eolimna verecundaeformis	Eolimna verecundaeformis (Manguin ex Kociolek & Reviers) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Entomoneis paludosa	Entomoneis paludosa (W.Smith) Reimer, 1975	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis
Epithemia proboscidea	Epithemia proboscidea W.Smith, 1853	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia praerupta var. curta	Eunotia praerupta var. curta Grunow, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pectinalis	Eunotia pectinalis (Kützing) Rabenhorst, 1864	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pileus	Eunotia pileus (Ehrenberg) Reichardt, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pirla	Eunotia pirla J.R.Carter & Flower, 1988	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pseudolunaris	Eunotia pseudolunaris Venkataraman, 1939	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pectinalis var. minor	Eunotia pectinalis var. minor (Kützing) Rabenhorst, 1864	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	-	-	Himantidium
Eunotia pectinalis var. minor f. impressa	Eunotia pectinalis f. impressa (Otto Müller) Ant.Mayer, 1913	FORM	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pectinalis var. minor f. intermedia	Eunotia pectinalis f. intermedia Krasske ex Hustedt, 1932	FORM	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia praerupta	Eunotia praerupta Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia praerupta var. inflata	Eunotia praerupta var. inflata Grunow, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia praerupta var. muscicola	Eunotia praerupta var. muscicola Petersen, 1928	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonema prostratum	Encyonema prostratum (Berkeley) Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	-	-	Monema
Eunotia pseudoflexuosa	Eunotia pseudoflexuosa F.Hustedt	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Entomoneis paludosa var. subsalina	Entomoneis paludosa var. subsalina (Cleve) Krammer, 1987	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis
Entomoneis paludosa var. subsalina	Entomoneis paludosa var. subsalina (Cleve) Krammer, 1987	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Surirellales	Entomoneidaceae	Entomoneis
Eunotia pseudoveneris	Eunotia pseudoveneris Hustedt, 1942	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia praerupta terato	Eunotia praerupta Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia proboscidea var. typica	Epithemia proboscidea var. typica Cleve-Euler, 1952	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia pectinalis var. undulata	Eunotia pectinalis var. undulata (Ralfs) Rabenhorst, 1864	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pectinalis var. ventralis	Eunotia pectinalis var. ventralis (Ehrenberg) Hustedt, 1911	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia pectinalis var. ventricosa	Eunotia pectinalis var. ventricosa (Ehrenberg) Grunow, 1881	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eupodiscus weissflogii	Eupodiscus weissflogii (Grunow) De Toni, 1894	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Conticribra
Eunotia rhomboidea	Eunotia rhomboidea Hustedt, 1950	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia rostellata	Eunotia rostellata Hustedt, 1913	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eolimna rotunda	Eolimna rotunda (Hustedt) Lange-Bertalot, Kulikovskiy & Witkowski, 2010	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eolimna ruttneri	Eolimna ruttneri (Hustedt) Lange-Bertalot & Monnier, 2003	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Encyonema silesiacum terato	Encyonema silesiacum Round et al.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema subalpinum	Encyonema subalpinum (Hustedt) D.G.Mann, 1990	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonopsis
Eolimna subminuscula	Eolimna subminuscula (Manguin) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eolimna subminuscula terato	Eolimna subminuscula (Manguin) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Encyonema silesiacum	Encyonema silesiacum Round et al.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Eolimna submuralis	Eolimna submuralis (Hustedt) Lange-Bertalot & Kulikovskiy, 2010	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eunotia soleirolii	Eunotia soleirolii (W.Smith)	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia sorex	Epithemia sorex Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eunotia soleirolii terato	Eunotia soleirolii (W.Smith)	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia spiculaeformis	Eunotia spiculaeformis Kociolek & Reviers, 1996	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia subarcuatoides	Eunotia subarcuatoides Alles, Nörpel & Lange-Bertalot, 1991	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia sudetica	Eunotia sudetica Otto Müller, 1898	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonopsis subminuta	Encyonopsis subminuta Krammer & E.Reichardt, 1997	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonopsis
Encyonema silesiacum var. ventriformis	Encyonema silesiacum var. ventriformis Krammer, 1997	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Epithemia sorex terato	Epithemia sorex Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Rhopalodiales	Rhopalodiaceae	Epithemia
Eolimna tantula	Eolimna tantula (Hustedt) Lange-Bertalot, 2004	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eunotia tenella var. capensis	Eunotia tenella var. capensis Cholnoky, 1959	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia tenella	Eunotia tenella (Grunow) Hustedt, 1913	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia tapacumae	Eunotia tapacumae Ehrenberg, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Epithemia turgida	Epithemia turgida (Ehrenberg) Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eunotia amphioxys	Eunotia amphioxys Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eucocconeis austriaca	Eucocconeis austriaca H.Lange-Bertalot	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Eucocconeis
Eunotia uncinata	Eunotia uncinata Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eucocconeis flexella	Eucocconeis flexella (Kütz.) Cleve, 1885	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Eucocconeis
Eunotia intermedia	Eunotia intermedia (Krasske) Nörpel & Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eucocconeis laevis	Eucocconeis laevis (Østrup) Lange-Bertalot, 1999	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Achnanthales	Achnanthidiaceae	Eucocconeis
Eunotia undulata	Eunotia undulata Grunow, 1868	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia paludosa	Eunotia paludosa Grunow, 1862	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eolimna utermoehlii	Eolimna utermoehlii (Hustedt) H.Lange-Bertalot, M.Kulikovskiy & A.Witkowski, 2010	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eunotia valida	Eunotia valida Grunow, 1882	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eolimna verecundaeformis	Eolimna verecundaeformis (Manguin ex Kociolek & Reviers) Gerd Moser, Lange-Bertalot & D.Metzeltin, 1998	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Eunotia veneris	Eunotia veneris (Kuetzing) O.Muell.	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia vanheurckii var. intermedia	Eunotia vanheurckii var. intermedia (Krasske ex Hustedt) Patrick, 1958	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Eunotia vanheurckii	Eunotia vanheurckii R.M.Patrick, 1958	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Encyonema ventricosum var. minuta	Encyonema ventricosum var. minuta Otto Muller, 1924	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Epithemia zebra	Epithemia zebra (Ehrenberg) Kützing, 1844	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Epithemia zebra var. proboscidea	Epithemia zebra var. proboscidea Mayer, 1936	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Fragilaria arcus var. amphioxys	Fragilaria arcus var. amphioxys (Rabenhorst) Cleve-Euler, 1953	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Hannaea
Fragilaria acidoclinata	Fragilaria acidoclinata Lange-Bertalot & G.Hofmann, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria acidoclinata terato	Fragilaria acidoclinata Lange-Bertalot & G.Hofmann, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria amphicephala	Fragilaria amphicephala Ehrenberg, 1854	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria amphicephaloides	Fragilaria amphicephaloides Lange-Bertalot, 2013	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Frustulia amphipleuroides	Frustulia amphipleuroides (Grunow) A.Cleve, 1934	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Fragilaria arcus	Fragilaria arcus (Ehrenberg) Cleve, 1898	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Fragilaria arcus terato	Fragilaria arcus (Ehrenberg) Cleve, 1898	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Fallacia auriculata	Fallacia auriculata (Hustedt) D.G.Mann, 1990	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Fragilaria austriaca	Fragilaria austriaca (Grunow) Lange-Bertalot, 2000	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria biceps	Fragilaria biceps Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria biceps terato	Fragilaria biceps Ehrenberg, 1843	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria berolinensis	Fragilaria berolinensis (Lemmermann) Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Synedra
Fragilaria bicapitata	Fragilaria bicapitata	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria bidens	Fragilaria bidens Heiberg, 1863	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria binodis	Fragilaria binodis Pantocsek, 1902	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria brevistriata	Fragilaria brevistriata Grunow, 1885	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria brevistriata terato	Fragilaria brevistriata Grunow, 1885	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria bidens terato	Fragilaria bidens Heiberg, 1863	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria brevistriata var. turgida	Fragilaria brevistriata var. turgida McCall, 1933	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria brevistriata var. triggiba	Fragilaria brevistriata var. trigibba (Pantocsek) Hustedt, 1930	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria capucina var. amphicephala	Fragilaria capucina var. amphicephala (Kütz.) Lange-Bert. ex Buktyiarova	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria capucina var. amphicephala	Fragilaria capucina var. amphicephala (Kütz.) Lange-Bert. ex Buktyiarova	VARIETY	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria capucina	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Fragilaria capucina	Fragilaria capucina (Grunow) Lange-Bertalot, 1993	SPECIES	Chromista	Ochrophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria
