Species	Genus	Family	Order	Class	Phylum	Subkingdom	Kingdom	Empire
Chlorogonium elongatum	Chlorogonium	Haematococcaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Fragilaria sp.	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pandorina morum	Pandorina	Volvocaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Monoraphidium pusillum	Monoraphidium	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Ankistrodesmus bibraianus	Ankistrodesmus	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Craticula accomoda	Craticula	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus intermedius	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Botryococcus protuberans	Botryococcus	Dictyosphaerioideae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Eudorina elegans	Eudorina	Volvocaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Coelastrum reticulatum	Coelastrum	Coelastraceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus var. acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus pecsensis	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus pecsensis	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Choricystis sp.	Choricystis	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes sp.	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Parachlorella kessleri	Parachlorella	Chlorellaceae 	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella sp.	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Muriella zofingiensis	Muriella	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Xanthonema montanum	Xanthonema	Xanthonemataceae	Tribonematales	Xanthophyceae	Heterokontophyta	Heterokonta	Chromista	Eukaryota
Stichococcus cf. fragilis	Stichococcus	Prasiolaceae	Prasiolales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Synura petersenii	Synura	Mallomonadaceae	Synurales	Synurophyceae	Ochrophyta	Chromobiota	Chromista	Eukaryota
Cryptomonas tetrapyrenoidosa 	Cryptomonas	Cryptomonadaceae	Cryptomonadales	Cryptophyceae	Cryptophyta	Cryptista	Chromista	Eukaryota
Chlorella (3 varietés)	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella sp.	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella vulgaris	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlamydomonas reinhardtii	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria crotonensis	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Scenedesmus sp.	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus quadricauda	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus intermedius	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Ankistrodesmus gracilis	Ankistrodesmus	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus acutus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus spinosus	Scenedesmus	Scenedesmaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella vulgaris var. viridis	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scenedesmus nanus	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Neocystis arvensis	Neocystis	Radiococcaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Scotiellopsis rubescens	Scotiellopsis	Chlorellaceae 	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella saccharophila	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlamydomonas sp.	Chlamydomonas	Chlamydomonadaceae	Volvocales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Chlorella saccharophila	Chlorella	Chlorellaceae	Chlorellales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Pseudococcomyxa pringsheimii	Pseudococcomyxa	Oocystaceae 	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Tetracystis aggregata	Tetracystis	Chlorococcaceae	Chlorococcales	Chlorophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Mychonastes homosphaera	Mychonastes	Oocystaceae	Oocystales	Trebouxiophyceae	Chlorophyta	Viridiplantae	Plantae	Eukaryota
Pantocsekiella costei	Pantocsekiella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Stephanodiscus minutulus	Stephanodiscus	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cyclotella meneghiniana	Cyclotella	Stephanodiscaceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Conticribra weissflogii	Conticribra	Thalassiosiraceae	Thalassiosirales	Mediophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria cf. nanoides	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria perminuta	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Achnanthidium minutissimum	Achnanthidium	Achnanthidiaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Surirella elliptica	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Diadesmis gallica	Diadesmis	Diadesmidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Eunotia bilunaris	Eunotia	Eunotiaceae	Eunotiales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Ulnaria ulna	Ulnaria	Fragilariaceae	Fragilariales	Fragilariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia acicularis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia communis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia dissipata	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia filiformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia fonticola	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia paleaeformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia paleaeformis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia linearis	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia paleacea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia cf. pusilla	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Fistulifera saprophila	Fistulifera	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Craticula subminuscula	Craticula	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia supralitorea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia supralitorea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia rupestris	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Surirella angusta	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Surirella brebissonii	Surirella	Surirellaceae	Surirellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia amphibia	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula cryptocephala	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Navicula germainii	Navicula	Naviculaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Cocconeis euglypta	Cocconeis	Cocconeidaceae	Achnanthales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Craticula molestiformis	Craticula	Stauroneidaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Sellaphora seminulum	Sellaphora	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Sellaphora seminulum	Sellaphora	Sellaphoraceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema clevei	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema lagenula	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Pinnularia acrosphaeria	Pinnularia	Pinnulariaceae	Naviculales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Halamphora montana	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Halamphora montana	Halamphora	Catenulaceae	Thalassiophysales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales	Bacillariophyceae	Bacillariophyta	Chromobiota	Chromista	Eukaryota
